COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC	ZINC000000002094
COc1nccnc1NS(=O)(=O)c1ccc(N)cc1	ZINC000000002097
COc1nccnc1NS(=O)(=O)c1ccc(N)cc1	ZINC000000002097
Nc1ccc(S(N)(=O)=O)cc1	ZINC000000002101
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1	ZINC000000002105
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1	ZINC000000002105
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1	ZINC000000002114
Cn1cnc2c1c(=O)[nH]c(=O)n2C	ZINC000000002151
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O	ZINC000000002159
CC(C)(C)[NH2+]CC(O)COc1nsnc1N1CCOCC1	ZINC000000002176
Cc1c(Cl)cccc1Nc1ccccc1C(=O)O	ZINC000000002188
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1	ZINC000000002191
CCN(CC)c1cc(C)nc2ncnn12	ZINC000000002202
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2	ZINC000000002212
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl	ZINC000000002216
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl	ZINC000000002216
CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O	ZINC000000002220
Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1	ZINC000000002226
Cc1ccc(C(C)C)c(OCC2=[NH+]CCN2)c1	ZINC000000002232
C[NH+](C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21	ZINC000000002264
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21	ZINC000000002264
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1	ZINC000000002272
CC(C)[NH2+]CC(O)c1cc(O)cc(O)c1	ZINC000000002273
Cc1ccc(Cl)c(OCC(O)C[NH2+]C(C)(C)C)c1	ZINC000000002276
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O	ZINC000000002279
CC(C)(C)[NH2+]CC(O)c1cc(O)cc(O)c1	ZINC000000002281
CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1	ZINC000000002282
Cc1cccc(C)c1NC(=O)C(C)[NH3+]	ZINC000000002283
Cc1cccc(C)c1NC(=O)C(C)N	ZINC000000002283
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1	ZINC000000002299
C[NH+]1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1	ZINC000000002299
C[NH+]1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1	ZINC000000002299
CC(C)Cc1ccc(C(C)C(=O)O)cc1	ZINC000000002647
O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12	ZINC000000002688
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3	ZINC000000003642
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC[NH2+]CC3)cc21	ZINC000000003742
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21	ZINC000000003742
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O	ZINC000000003837
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1	ZINC000000003876
CC(CCc1ccc(O)cc1)[NH2+]CCc1ccc(O)c(O)c1	ZINC000000003911
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	ZINC000000004009
