MoleculeID;PBFE(ERF);PBFE(RF);PBFE(DNN);PBFE(KNN);PBFE(SVR);PBFE(εSVR);PBFE(LR)
APVD_1218_ZINC;	-9.830; -9.919; -9.544; -8.130; -10.054; -9.809; -9.890
APVD_1219_ZINC;	-8.369; -8.711; -10.067; -8.237; -8.801; -10.031; -8.491
APVD_1220_ZINC;	-8.333; -8.749; -10.059; -8.629; -8.666; -9.919; -8.386
APVD_1221_ZINC;	-8.148; -8.311; -8.675; -5.841; -8.241; -8.197; -8.252
APVD_1222_ZINC;	-8.346; -8.424; -8.733; -7.033; -8.278; -8.197; -8.347
APVD_1223_ZINC;	-8.129; -8.504; -8.581; -6.791; -8.242; -7.969; -8.231
APVD_1224_ZINC;	-7.924; -8.059; -8.692; -8.556; -8.004; -8.601; -7.892
APVD_1225_ZINC;	-8.051; -8.216; -9.222; -9.264; -8.160; -9.293; -8.107
APVD_1226_ZINC;	-8.051; -8.216; -9.222; -9.264; -8.160; -9.293; -8.107
APVD_1227_ZINC;	-7.868; -8.033; -8.208; -6.020; -7.762; -7.972; -7.777
APVD_1228_ZINC;	-7.682; -7.977; -7.899; -5.606; -7.775; -7.734; -7.768
APVD_1229_ZINC;	-7.863; -8.076; -8.217; -6.020; -7.777; -7.983; -7.793
APVD_1230_ZINC;	-7.693; -8.030; -7.907; -5.606; -7.790; -7.740; -7.783
APVD_1231_ZINC;	-8.701; -8.875; -9.134; -8.906; -8.799; -8.816; -8.847
APVD_1232_ZINC;	-8.715; -8.686; -9.192; -8.660; -8.883; -8.908; -8.928
APVD_1233_ZINC;	-8.807; -8.853; -9.416; -8.802; -9.073; -9.109; -9.102
APVD_1234_ZINC;	-9.387; -9.251; -8.981; -7.738; -9.482; -9.057; -9.485
APVD_1235_ZINC;	-6.644; -6.307; -7.555; -8.332; -7.393; -7.346; -7.589
APVD_1236_ZINC;	-7.975; -8.056; -8.463; -8.146; -7.684; -7.744; -7.690
APVD_1237_ZINC;	-8.115; -8.252; -8.564; -7.815; -7.717; -7.961; -7.747
APVD_1238_ZINC;	-9.198; -9.223; -9.326; -7.217; -8.639; -9.294; -8.745
APVD_1239_ZINC;	-8.812; -8.754; -8.068; -7.161; -8.363; -8.019; -8.416
APVD_1240_ZINC;	-8.818; -8.797; -7.895; -6.570; -8.557; -8.040; -8.591
APVD_1241_ZINC;	-8.334; -8.600; -9.028; -8.651; -8.031; -8.587; -8.193
APVD_1242_ZINC;	-8.451; -8.714; -9.207; -8.490; -8.249; -8.795; -8.383
APVD_1243_ZINC;	-7.355; -7.338; -7.499; -6.292; -6.742; -7.249; -6.796
APVD_1244_ZINC;	-7.298; -7.259; -7.497; -7.043; -6.788; -7.363; -6.820
APVD_1245_ZINC;	-8.406; -8.512; -8.754; -9.517; -7.702; -8.557; -7.873
APVD_1246_ZINC;	-8.391; -8.489; -8.740; -9.517; -7.685; -8.523; -7.855
APVD_1247_ZINC;	-8.060; -8.186; -8.564; -8.159; -8.286; -8.388; -8.245
APVD_1248_ZINC;	-8.513; -8.677; -8.673; -7.233; -8.231; -9.028; -7.804
APVD_1249_ZINC;	-8.375; -8.653; -8.538; -6.950; -8.182; -8.863; -7.743
APVD_1250_ZINC;	-8.938; -9.056; -9.284; -9.717; -9.634; -9.183; -9.542
APVD_1251_ZINC;	-8.893; -9.047; -9.145; -10.010; -9.536; -9.119; -9.444
APVD_1252_ZINC;	-8.939; -9.049; -9.283; -9.717; -9.632; -9.183; -9.539
APVD_1253_ZINC;	-8.894; -9.035; -9.144; -9.943; -9.534; -9.118; -9.441
APVD_1254_ZINC;	-8.668; -8.905; -8.640; -9.499; -8.946; -8.263; -9.079
APVD_1255_ZINC;	-8.648; -8.833; -8.658; -9.840; -8.977; -8.371; -9.080
APVD_1256_ZINC;	-8.528; -8.784; -8.459; -9.250; -8.600; -7.767; -8.764
APVD_1257_ZINC;	-8.885; -9.128; -8.607; -8.699; -8.479; -8.237; -8.729
APVD_1258_ZINC;	-8.839; -9.208; -8.791; -9.694; -8.883; -8.353; -9.079
APVD_1259_ZINC;	-8.855; -9.021; -8.750; -7.929; -8.600; -8.415; -8.721
APVD_1260_ZINC;	-8.928; -9.046; -8.853; -7.733; -8.668; -8.856; -8.751
APVD_1261_ZINC;	-9.017; -9.178; -8.843; -6.991; -8.820; -9.019; -8.895
APVD_1262_ZINC;	-6.436; -5.964; -6.414; -7.668; -5.340; -5.946; -5.529
APVD_1263_ZINC;	-6.963; -6.785; -7.055; -6.921; -6.161; -7.118; -6.163
APVD_1264_ZINC;	-7.018; -6.828; -7.400; -8.923; -6.344; -7.253; -6.367
